TranscriptClusterID	Chrom	Start	Stop	TotalProbes	AccessionID	Gene	mRNA	LocusType	logFC	AveExpr	t	P.Value	adj.P.Val	B	FC
TC0100000055.mm.1	chr1	10993465	11303682	470	NM_001033636	Prex2	NM_001033636 // Prex2 // phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	refseq:NM:protein_coding:CODING	1.19172333333334	13.1978216666667	7.25790188671435	0.000634323900175496	0.0087521388157511	0.0404280596501927	2.28425439858096
TC0100000092.mm.1	chr1	15805646	15844052	140	NM_001286628	Terf1	NM_001286628 // Terf1 // telomeric repeat binding factor 1	refseq:NM:protein_coding:CODING	0.811028333333336	10.1700716666667	7.99376664166252	0.000396524987358585	0.00709044252419277	0.566011513094281	1.75446155329621
TC0100000112.mm.1	chr1	17601901	17630939	80	NM_053191	Pi15	NM_053191 // Pi15 // peptidase inhibitor 15	refseq:NM:protein_coding:CODING	-1.724705	8.37342	-8.45146837580951	0.000301600237213841	0.0062437454869463	0.870413784854955	-3.30512537670693
TC0100000216.mm.1	chr1	33908225	34308662	1305	NM_001276764	Dst	NM_001276764 // Dst // dystonin	refseq:NM:protein_coding:CODING	0.669346666666671	13.4923283333333	7.23944848215234	0.000642171412391117	0.00877855300862704	0.0266305019708213	1.5903526034417
TC0100000253.mm.1	chr1	36691487	36693388	50	NM_009942	Cox5b	NM_009942 // Cox5b // cytochrome c oxidase subunit Vb	refseq:NM:protein_coding:CODING	-0.88778166666666	11.66689	-9.8405017579962	0.000141542789988636	0.00461889944627671	1.70341663430504	-1.85032881142559
TC0100000259.mm.1	chr1	37299865	37410736	389	NM_030266	Inpp4a	NM_030266 // Inpp4a // inositol polyphosphate-4-phosphatase, type I	refseq:NM:protein_coding:CODING	0.66445666666667	8.93143166666667	7.47286403283526	0.000550731892344776	0.00822598532550366	0.198857159281967	1.58497124483425
TC0100000260.mm.1	chr1	37430170	37439124	120	NM_026123	Unc50	NM_026123 // Unc50 // unc-50 homolog (C. elegans)	refseq:NM:protein_coding:CODING	-0.590738333333327	9.84466166666667	-7.61661298884167	0.000502035791935799	0.00788302937164744	0.302495060345676	-1.50601729021564
TC0100000280.mm.1	chr1	38987804	38997236	70	NM_026850	Pdcl3	NM_026850 // Pdcl3 // phosducin-like 3	refseq:NM:protein_coding:CODING	-0.861138333333329	11.0164466666667	-6.96554743800758	0.000773192502959899	0.00949554393192399	-0.181949460104979	-1.81647100006869
TC0100000338.mm.1	chr1	44551511	44796836	190	NM_028450	Gulp1	NM_028450 // Gulp1 // GULP, engulfment adaptor PTB domain containing 1	refseq:NM:protein_coding:CODING	1.45885333333334	12.38024	13.5971651441707	2.74946166786127e-05	0.00278402853197875	3.44424248924171	2.74889791961496
TC0100000343.mm.1	chr1	45311538	45349706	553	NM_009930	Col3a1	NM_009930 // Col3a1 // collagen, type III, alpha 1	refseq:NM:protein_coding:CODING	1.37548166666668	16.5525883333333	14.8858840940616	1.72840376218655e-05	0.00252255895230991	3.91537742018421	2.59454519486152
TC0100000372.mm.1	chr1	51289126	51302960	30	NM_138741	Sdpr	NM_138741 // Sdpr // serum deprivation response	refseq:NM:protein_coding:CODING	-3.32905833333333	11.4629316666667	-14.9500293724918	1.69064710190309e-05	0.0025038026373566	3.93749453239679	-10.0495453800861
TC0100000395.mm.1	chr1	55088132	55091317	60	NM_008303	Hspe1	NM_008303 // Hspe1 // heat shock protein 1 (chaperonin 10)	refseq:NM:protein_coding:CODING	-0.723694999999998	9.56273333333333	-9.17191365039978	0.000201110575650078	0.00520089960258905	1.31837721157381	-1.65140616936802
TC0100000426.mm.1	chr1	57985340	58026277	150	NM_001177867	Sgol2	NM_001177867 // Sgol2 // shugoshin-like 2 (S. pombe)	refseq:NM:protein_coding:CODING	0.954531666666673	7.915265	13.5406581777304	2.80866272671167e-05	0.00278425390590052	3.42234670293563	1.93795042666501
TC0100000485.mm.1	chr1	60887000	60915832	110	NM_001281976	Ctla4	NM_001281976 // Ctla4 // cytotoxic T-lymphocyte-associated protein 4	refseq:NM:protein_coding:CODING	-1.182845	5.80017666666667	-6.91872930679416	0.000798611284678667	0.00963890098057702	-0.218327220248927	-2.27024028153829
TC0100000490.mm.1	chr1	60977914	61000321	70	NM_017480	Icos	NM_017480 // Icos // inducible T cell co-stimulator	refseq:NM:protein_coding:CODING	-1.083655	7.57750333333333	-10.7946482975471	8.88828645491988e-05	0.00390169405236649	2.2079426102432	-2.1193986821386
TC0100000497.mm.1	chr1	61638824	62642284	290	NM_001081050	Pard3b	NM_001081050 // Pard3b // par-3 family cell polarity regulator beta	refseq:NM:protein_coding:CODING	1.10433166666667	8.346085	13.0431913411866	3.40073389966085e-05	0.00297017874645386	3.22473625223192	2.1499925588919
TC0100000519.mm.1	chr1	63176825	63180486	191	NM_018796	Eef1b2	NM_018796 // Eef1b2 // eukaryotic translation elongation factor 1 beta 2	refseq:NM:protein_coding:CODING	-0.719066666666663	12.95186	-12.1199029256543	4.94355569877427e-05	0.00320897454259812	2.83333401526915	-1.64611675554579
TC0100000524.mm.1	chr1	63445891	63596515	381	NM_001177600	Adam23	NM_001177600 // Adam23 // a disintegrin and metallopeptidase domain 23	refseq:NM:protein_coding:CODING	1.66902000000001	14.1929583333333	25.7885499961397	1.00505546300324e-06	0.00179083001222681	6.46652676178252	3.17998508744429
TC0100000541.mm.1	chr1	64690455	64725644	130	NM_001097644	Ccnyl1	NM_001097644 // Ccnyl1 // cyclin Y-like 1	refseq:NM:protein_coding:CODING	-0.818496666666661	10.6637316666667	-6.96888488293234	0.000771417056620736	0.00949554393192399	-0.179364480674396	-1.76356734247971
TC0100000609.mm.1	chr1	72711260	72713813	50	NM_009084	Rpl37a	NM_009084 // Rpl37a // ribosomal protein L37a	refseq:NM:protein_coding:CODING	-0.881821666666662	12.416485	-11.0588622580621	7.86644883316318e-05	0.00379051317050869	2.3391941025971	-1.84270057980194
TC0100000640.mm.1	chr1	74661745	74703730	356	NM_001014974	Ttll4	NM_001014974 // Ttll4 // tubulin tyrosine ligase-like family, member 4	refseq:NM:protein_coding:CODING	0.970275000000004	9.48155166666667	7.92610358133769	0.000413371573256966	0.00718558063727192	0.519606020383074	1.95921401609245
TC0100000826.mm.1	chr1	87784556	87784820	30	NR_028519	Scarna6	NR_028519 // Scarna6 // small Cajal body-specific RNA 6	refseq:NR:ncRNA:NONCODING	-2.53228666666667	11.1936583333333	-7.07328232916828	0.000718221598766606	0.00926432198655202	-0.0990516421445786	-5.78487853203302
TC0100000836.mm.1	chr1	88055388	88220002	354	NM_013701	Ugt1a2	NM_013701 // Ugt1a2 // UDP glucuronosyltransferase 1 family, polypeptide A2	refseq:NM:protein_coding:CODING	-1.178095	7.96839333333333	-14.2008046033354	2.20109721379976e-05	0.00263212668609609	3.67147330071221	-2.26277792240913
TC0100000858.mm.1	chr1	89454811	89897617	270	NM_001037136	Agap1	NM_001037136 // Agap1 // ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	refseq:NM:protein_coding:CODING	1.209075	10.924455	17.0009458442803	8.72114979952065e-06	0.00208697881400655	4.58630324548214	2.31189359617525
